step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1]
87,0.176,-0,-0.000199095,0.000199095,0.00199095,-0,0.000141727,-7.13619e-06,0.00213268,0,0.000242984,-0.000242984,-0.00242984,-0,-0.000100443,-3.17262e-06,-0.00253028
88,0.178,0,-0.000229308,0.000229308,0.00229308,-0,0.000151064,-6.70778e-06,0.00244414,-0,0.000274038,-0.000274038,-0.00274038,-0,-0.000155272,-3.68965e-06,-0.00289565
89,0.18,-0,-0.000259743,0.000259743,0.00259743,-0,0.000152175,-6.21873e-06,0.00274961,0,0.000304932,-0.000304932,-0.00304932,-0,-0.000154468,-4.26862e-06,-0.00320378
90,0.182,0,-0.000295364,0.000295364,0.00295364,-0,0.000178103,-5.66363e-06,0.00313174,-0,0.000344205,-0.000344205,-0.00344205,-0,-0.000196366,-4.91775e-06,-0.00363841
91,0.184,-0,-0.000330884,0.000330884,0.00330884,-0,0.000177604,-5.03738e-06,0.00348645,0,0.000382828,-0.000382828,-0.00382828,-0,-0.000193117,-5.64478e-06,-0.0040214
92,0.186,0,-0.000380387,0.000380387,0.00380387,-0,0.000247514,-4.32611e-06,0.00405139,-0,0.000430414,-0.000430414,-0.00430414,-0,-0.000237931,-6.45803e-06,-0.00454207
93,0.188,-0,-0.000428995,0.000428995,0.00428995,-0,0.000243039,-3.51672e-06,0.00453299,0,0.000476833,-0.000476833,-0.00476833,-0,-0.000232094,-7.36527e-06,-0.00500042
94,0.19,0,-0.000485858,0.000485858,0.00485858,-0,0.000284314,-2.60187e-06,0.00514289,-0,0.000528508,-0.000528508,-0.00528508,-0,-0.000258377,-8.37062e-06,-0.00554346
95,0.192,-0,-0.000541162,0.000541162,0.00541162,-0,0.00027652,-1.57485e-06,0.00568814,0,0.000578823,-0.000578823,-0.00578823,-0,-0.000251574,-9.47795e-06,-0.0060398
96,0.194,-0,-0.000590259,0.000590259,0.00590259,-0,0.000245487,-4.4343e-07,0.00614808,0,0.00063033,-0.00063033,-0.0063033,-0,-0.000257533,-1.06871e-05,-0.00656083
97,0.196,0,-0.000635813,0.000635813,0.00635813,0,0.000227768,7.82642e-07,0.0065859,0,0.000679629,-0.000679629,-0.00679629,-0,-0.000246495,-1.19971e-05,-0.00704278
98,0.198,-0,-0.000673321,0.000673321,0.00673321,0,0.000187543,2.09178e-06,0.00692075,0,0.000730419,-0.000730419,-0.00730419,-0,-0.000253954,-1.34071e-05,-0.00755815
99,0.2,0,-0.000705984,0.000705984,0.00705984,0,0.000163315,3.47108e-06,0.00722316,0,0.000780931,-0.000780931,-0.00780931,-0,-0.000252561,-1.49185e-05,-0.00806188
100,0.202,-0,-0.000729791,0.000729791,0.00729791,0,0.000119033,4.90686e-06,0.00741694,0,0.000833897,-0.000833897,-0.00833897,-0,-0.000264827,-1.65333e-05,-0.0086038
101,0.204,-0,-0.000741182,0.000741182,0.00741182,0,5.69557e-05,6.37783e-06,0.00746878,0,0.000869936,-0.000869936,-0.00869936,-0,-0.000180196,-1.82371e-05,-0.00887956
102,0.206,-0,-0.000744692,0.000744692,0.00744692,0,1.75504e-05,7.8637e-06,0.00746447,0,0.000909654,-0.000909654,-0.00909654,-0,-0.00019859,-2.00167e-05,-0.00929513
103,0.208,-0,-0.000721869,0.000721869,0.00721869,0,-0.000114115,9.33026e-06,0.00710458,0,0.000928273,-0.000928273,-0.00928273,-0,-9.30942e-05,-2.18546e-05,-0.00937582
104,0.21,-0,-0.000693877,0.000693877,0.00693877,0,-0.00013996,1.0746e-05,0.00679881,0,0.000951309,-0.000951309,-0.00951309,-0,-0.000115181,-2.37342e-05,-0.00962827
105,0.212,-0,-0.00063727,0.00063727,0.0063727,0,-0.000283035,1.20772e-05,0.00608967,0,0.000959016,-0.000959016,-0.00959016,-0,-3.8533e-05,-2.56445e-05,-0.00962869
106,0.214,-0,-0.000577664,0.000577664,0.00577664,0,-0.000298032,1.32921e-05,0.00547861,0,0.000972466,-0.000972466,-0.00972466,-0,-6.72492e-05,-2.7576e-05,-0.0097919
107,0.216,-0,-0.000498917,0.000498917,0.00498917,0,-0.000393732,1.43687e-05,0.00459544,0,0.000981445,-0.000981445,-0.00981445,-0,-4.48952e-05,-2.95299e-05,-0.00985934
108,0.218,-0,-0.000418379,0.000418379,0.00418379,0,-0.000402693,1.5286e-05,0.0037811,0,0.000997651,-0.000997651,-0.00997651,-0,-8.10341e-05,-3.1509e-05,-0.0100575
109,0.22,-0,-0.000326069,0.000326069,0.00326069,0,-0.000461547,1.60304e-05,0.00279915,0,0.00102354,-0.00102354,-0.0102354,-0,-0.00012943,-3.35302e-05,-0.0103648
110,0.222,-0,-0.000232014,0.000232014,0.00232014,0,-0.000470278,1.65885e-05,0.00184986,0,0.00105847,-0.00105847,-0.0105847,-0,-0.00017467,-3.56122e-05,-0.0107594
111,0.224,-0,-0.000131183,0.000131183,0.00131183,0,-0.000504153,1.69517e-05,0.00080768,0,0.00110871,-0.00110871,-0.0110871,-0,-0.000251192,-3.77794e-05,-0.0113383
