step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1],target[2],actual[2],error[2],P[2],I[2],D[2],integral[2],output[2]
177,0.356,-0.444025,8.42545,-8.86948,-4.43474,-0,-23.8843,-0.312941,-10,0.224825,9.23635,-9.01153,-4.50576,-0,-27.4974,-0.521248,-10,0.2192,12.6336,-12.4144,-6.20718,-0,-46.1725,-0.585931,-10
178,0.358,-0.491339,0.410922,-0.902261,-0.45113,-0,19.918,-0.322713,10,0.261977,-9.22162,9.4836,4.7418,-0,46.2378,-0.520776,10,0.229362,-6.07735,6.30671,3.15336,-0,46.8027,-0.592039,10
179,0.36,-0.545506,10.4395,-10.985,-5.49248,-0,-25.2067,-0.3346,-10,0.271719,9.32308,-9.05136,-4.52568,-0,-46.3374,-0.520344,-10,0.273786,5.99414,-5.72036,-2.86018,-0,-30.0677,-0.591452,-10
180,0.362,-0.56534,2.30235,-2.86769,-1.43384,-0,20.2932,-0.348453,10,0.267561,-9.12033,9.38789,4.69395,-0,46.0981,-0.520008,10,0.297779,-2.68768,2.98546,1.49273,-0,21.7645,-0.594187,10
181,0.364,-0.570422,12.5665,-13.1369,-6.56846,-0,-25.6731,-0.364457,-10,0.222003,9.38422,-9.16221,-4.58111,-0,-46.3753,-0.519782,-10,0.348418,7.71488,-7.36647,-3.68323,-0,-25.8798,-0.598568,-10
182,0.366,-0.544073,4.06687,-4.61094,-2.30547,-0,21.3149,-0.382205,10,0.16771,-9.06034,9.22805,4.61403,-0,45.9757,-0.519716,10,0.376363,-2.15763,2.53399,1.267,-0,24.7512,-0.603401,10
183,0.368,-0.514075,22.7386,-23.2527,-11.6264,-0,-46.6044,-0.410069,-10,0.0758466,0.898282,-0.822436,-0.411218,-0,-25.1262,-0.51131,-10,0.438228,6.94051,-6.50229,-3.25114,-0,-22.5907,-0.607369,-10
184,0.37,-0.451583,4.31123,-4.76281,-2.3814,-0,46.2248,-0.438084,10,0.0299361,-7.90808,7.93802,3.96901,-0,21.9011,-0.504195,10,0.421647,-2.0834,2.50505,1.25253,-0,22.5183,-0.611366,10
185,0.372,-0.370806,22.7753,-23.1461,-11.573,-0,-45.9582,-0.465993,-10,-0.00690772,2.04492,-2.05182,-1.02591,-0,-24.9746,-0.498309,-10,0.377714,8.66946,-8.29174,-4.14587,-0,-26.992,-0.617153,-10
186,0.374,-0.328474,4.07294,-4.40142,-2.20071,-0,46.8617,-0.493541,10,-0.00584069,-6.36039,6.35455,3.17727,-0,21.0159,-0.494006,10,0.334315,-9.79258,10.1269,5.06345,-0,46.0466,-0.615318,10
187,0.376,-0.311984,12.7045,-13.0165,-6.50823,-0,-21.5376,-0.510959,-10,0.0268017,5.10525,-5.07845,-2.53922,-0,-28.5825,-0.49273,-10,0.285183,8.68907,-8.40389,-4.20194,-0,-46.3269,-0.613595,-10
188,0.378,-0.30144,1.86811,-2.16955,-1.08478,-0,27.1173,-0.526145,10,0.0245847,-2.4795,2.50409,1.25204,-0,18.9563,-0.495304,10,0.276855,-9.81031,10.0872,5.04358,-0,46.2276,-0.611912,10
189,0.38,-0.331738,10.634,-10.9658,-5.48289,-0,-21.9906,-0.53928,-10,0.0371021,8.54704,-8.50994,-4.25497,-0,-27.5351,-0.50131,-10,0.294635,8.65064,-8.35601,-4.178,-0,-46.1079,-0.61018,-10
190,0.382,-0.363408,-0.0592359,-0.304172,-0.152086,-0,26.654,-0.55055,10,0.0209157,0.0736629,-0.0527472,-0.0263736,-0,21.143,-0.509873,10,0.342492,-9.84044,10.1829,5.09147,-0,46.3473,-0.608354,10
191,0.384,-0.435327,9.00749,-9.44282,-4.72141,-0,-22.8466,-0.560297,-10,0.0268231,10.9732,-10.9464,-5.47319,-0,-27.2341,-0.520872,-10,0.408504,8.60731,-8.19881,-4.0994,-0,-45.9543,-0.606369,-10
192,0.386,-0.506279,-0.0863043,-0.419975,-0.209988,-0,22.5571,-0.57016,10,-0.00278289,-7.50192,7.49914,3.74957,-0,46.1138,-0.524319,10,0.509062,-10.0998,10.6089,5.30445,-0,47.0193,-0.603959,10
193,0.388,-0.582735,10.1713,-10.7541,-5.37704,-0,-25.8352,-0.581334,-10,-0.0561793,10.922,-10.9782,-5.48911,-0,-46.1934,-0.527798,-10,0.638914,0.366345,0.272569,0.136285,-0,-25.8408,-0.593078,-10
194,0.39,-0.585562,1.34639,-1.93196,-0.965978,-0,22.0553,-0.59402,10,-0.120456,-7.59055,7.47009,3.73505,-0,46.1208,-0.531306,10,0.706018,-7.72073,8.42675,4.21337,-0,20.3854,-0.584379,10
195,0.392,-0.564421,12.3505,-12.9149,-6.45744,-0,-27.4573,-0.608867,-10,-0.226025,10.8534,-11.0794,-5.5397,-0,-46.3737,-0.534916,-10,0.790446,1.16111,-0.370662,-0.185331,-0,-21.9935,-0.576322,-10
196,0.394,-0.504592,-6.10958,5.60499,2.80249,-0,46.2997,-0.616177,10,-0.332955,0.0771012,-0.410056,-0.205028,-0,26.6734,-0.546405,10,0.837547,-5.7897,6.62725,3.31363,-0,17.4948,-0.570066,10
197,0.396,-0.442287,12.5075,-12.9498,-6.47489,-0,-46.3869,-0.623521,-10,-0.405155,6.88156,-7.28672,-3.64336,-0,-17.1917,-0.554102,-10,0.847442,4.6188,-3.77136,-1.88568,-0,-25.9965,-0.56721,-10
198,0.398,-0.362507,-6.00388,5.64137,2.82069,-0,46.4779,-0.63083,10,-0.451673,-3.7685,3.31683,1.65841,-0,26.5089,-0.558072,10,0.814179,-3.14687,3.96105,1.98052,-0,19.331,-0.56702,10
199,0.4,-0.284971,12.4343,-12.7193,-6.35966,-0,-45.9017,-0.637908,-10,-0.470513,5.29881,-5.76932,-2.88466,-0,-22.7154,-0.560524,-10,0.755483,8.10621,-7.35073,-3.67536,-0,-28.2794,-0.57041,-10
200,0.402,-0.244166,0.326673,-0.570839,-0.28542,-0,30.3712,-0.651198,10,-0.457401,-5.02095,4.56355,2.28178,-0,25.8322,-0.56173,10,0.701566,-2.59045,3.29202,1.64601,-0,26.6069,-0.574469,10
201,0.404,-0.20282,8.56038,-8.7632,-4.3816,-0,-20.4809,-0.660532,-10,-0.450316,5.60505,-6.05537,-3.02768,-0,-26.5473,-0.563222,-10,0.653136,15.8712,-15.2181,-7.60904,-0,-46.2752,-0.586395,-10
202,0.406,-0.179352,-2.29807,2.11872,1.05936,-0,27.2048,-0.667176,10,-0.468686,-2.74889,2.2802,1.1401,-0,20.8389,-0.566997,10,0.648039,-2.58905,3.23709,1.61855,-0,46.1379,-0.598376,10
203,0.408,-0.196771,5.3362,-5.53297,-2.76648,-0,-19.1292,-0.670591,-10,-0.454084,7.57767,-8.03175,-4.01588,-0,-25.7799,-0.572749,-10,0.650855,15.8471,-15.1962,-7.5981,-0,-46.0832,-0.610335,-10
204,0.41,-0.214937,-4.83193,4.61699,2.3085,-0,25.3749,-0.671507,10,-0.480097,-2.98862,2.50852,1.25426,-0,26.3507,-0.578272,10,0.695034,2.71928,-2.02424,-1.01212,-0,32.9299,-0.627555,10
205,0.412,-0.227601,6.10479,-6.33239,-3.16619,-0,-27.3735,-0.673222,-10,-0.490819,7.00616,-7.49697,-3.74849,-0,-25.0137,-0.58326,-10,0.71842,10.1287,-9.41026,-4.70513,-0,-18.465,-0.63899,-10
206,0.414,-0.192751,-4.63028,4.43753,2.21877,-0,26.9248,-0.675117,10,-0.55093,-3.66118,3.11025,1.55512,-0,26.5181,-0.587647,10,0.743681,-1.69309,2.43677,1.21839,-0,29.6176,-0.645963,10
207,0.416,-0.177265,7.03672,-7.21399,-3.60699,-0,-29.1288,-0.677893,-10,-0.589221,6.3983,-6.98752,-3.49376,-0,-25.2444,-0.591524,-10,0.766486,8.03735,-7.27086,-3.63543,-0,-24.2691,-0.650797,-10
