step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1]
120,0.242,0,0.000482463,-0.000482463,-0,0,-0,3.66573e-06,0,0,0.00153473,-0.00153473,-0,0,-0,4.25268e-05,0
121,0.244,0,0.000600485,-0.000600485,-0,0,-0,2.58278e-06,0,0,0.00116597,-0.00116597,-0,0,0,3.98261e-05,0
122,0.246,0,0.000273116,-0.000273116,-0,0,0,1.70918e-06,0,0,0.00212232,-0.00212232,-0,0,-0,3.65378e-05,0
123,0.248,0,0.000513843,-0.000513843,-0,0,-0,9.22222e-07,0,0,0.00141509,-0.00141509,-0,0,0,3.30004e-05,0
124,0.25,0,1.71282e-05,-1.71282e-05,-0,0,0,3.91251e-07,0,0,0.00256736,-0.00256736,-0,0,-0,2.9018e-05,0
125,0.252,0,0.000873814,-0.000873814,-0,-0,-0,-4.99692e-07,-0,0,0.00186877,-0.00186877,-0,0,0,2.45818e-05,0
126,0.254,0,0.000548292,-0.000548292,-0,-0,0,-1.9218e-06,0,0,0.00234495,-0.00234495,-0,0,-0,2.03681e-05,0
127,0.256,0,0.00119904,-0.00119904,-0,-0,-0,-3.66913e-06,-0,0,0.00128159,-0.00128159,-0,0,0,1.67416e-05,0
128,0.258,0,0.000835146,-0.000835146,-0,-0,0,-5.70331e-06,0,0,0.00151501,-0.00151501,-0,0,-0,1.3945e-05,0
129,0.26,0,0.00107668,-0.00107668,-0,-0,-0,-7.61514e-06,-0,0,0.000402324,-0.000402324,-0,0,0,1.20277e-05,0
130,0.262,0,0.00066286,-0.00066286,-0,-0,0,-9.35469e-06,0,0,0.000559261,-0.000559261,-0,0,-0,1.10661e-05,0
131,0.264,0,0.000854069,-0.000854069,-0,-0,-0,-1.08716e-05,-0,0,-0.00024984,0.00024984,0,0,0,1.07567e-05,0
132,0.266,0,0.000287288,-0.000287288,-0,-0,0,-1.2013e-05,0,0,-0.000416525,0.000416525,0,0,0,1.1423e-05,0
133,0.268,0,0.000207698,-0.000207698,-0,-0,0,-1.2508e-05,0,0,-0.00078837,0.00078837,0,0,0,1.26279e-05,0
134,0.27,0,-0.000970572,0.000970572,0,-0,0,-1.17451e-05,0,0,-0.00224779,0.00224779,0,0,0,1.56641e-05,0
135,0.272,0,-0.00113587,0.00113587,0,-0,0,-9.63864e-06,0,0,-0.00176073,0.00176073,0,0,-0,1.96726e-05,0
136,0.274,0,0.00145276,-0.00145276,-0,-0,-0,-9.95553e-06,-0,0,-0.000982677,0.000982677,0,0,-0,2.2416e-05,0
137,0.276,0,0.000329138,-0.000329138,-0,-0,0,-1.17374e-05,0,0,-0.000754752,0.000754752,0,0,-0,2.41534e-05,0
138,0.278,0,0.000355016,-0.000355016,-0,-0,-0,-1.24216e-05,-0,0,-0.000886933,0.000886933,0,0,0,2.57951e-05,0
139,0.28,0,-0.000511505,0.000511505,0,-0,0,-1.22651e-05,0,0,-0.000569143,0.000569143,0,0,-0,2.72512e-05,0
140,0.282,0,-0.000370777,0.000370777,0,-0,-0,-1.13828e-05,0,0,-0.000646409,0.000646409,0,0,0,2.84668e-05,0
141,0.284,0,-0.000255886,0.000255886,0,-0,-0,-1.07561e-05,0,0,-0.000342553,0.000342553,0,0,-0,2.94557e-05,0
142,0.286,0,-0.00037662,0.00037662,0,-0,0,-1.01236e-05,0,0,-0.00128787,0.00128787,0,0,0,3.10861e-05,0
143,0.288,0,0.000136205,-0.000136205,-0,-0,-0,-9.88323e-06,-0,0,-0.00086006,0.00086006,0,0,-0,3.32341e-05,0
144,0.29,0,0.000394486,-0.000394486,-0,-0,-0,-1.04139e-05,-0,0,-0.000798386,0.000798386,0,0,-0,3.48925e-05,0
145,0.292,0,0.00113162,-0.00113162,-0,-0,-0,-1.194e-05,-0,0,-0.00114028,0.00114028,0,0,0,3.68312e-05,0
146,0.294,0,0.00153276,-0.00153276,-0,-0,-0,-1.46044e-05,-0,0,-0.00105367,0.00105367,0,0,-0,3.90251e-05,0
147,0.296,0,0.00233349,-0.00233349,-0,-0,-0,-1.84707e-05,-0,0,-0.00174663,0.00174663,0,0,0,4.18254e-05,0
148,0.298,0,0.00252883,-0.00252883,-0,-0,-0,-2.3333e-05,-0,0,-0.00167222,0.00167222,0,0,-0,4.52443e-05,0
149,0.3,0,0.00248242,-0.00248242,-0,-0,0,-2.83442e-05,0,0,-0.00209125,0.00209125,0,0,0,4.90077e-05,0
150,0.302,0,0.00230781,-0.00230781,-0,-0,0,-3.31345e-05,0,0,-0.00187321,0.00187321,0,0,-0,5.29722e-05,0
151,0.304,0,0.00142736,-0.00142736,-0,-0,0,-3.68696e-05,0,0,-0.00201505,0.00201505,0,0,0,5.68605e-05,0
152,0.306,0,0.000579155,-0.000579155,-0,-0,0,-3.88762e-05,0,0,-0.00112469,0.00112469,0,0,-0,6.00002e-05,0
153,0.308,0,-0.000394594,0.000394594,0,-0,0,-3.90607e-05,0,0,-0.00130905,0.00130905,0,0,0,6.24339e-05,0
154,0.31,0,-0.000155836,0.000155836,0,-0,-0,-3.85103e-05,0,0,-0.00116105,0.00116105,0,0,-0,6.4904e-05,0
155,0.312,0,-0.000801216,0.000801216,0,-0,0,-3.75532e-05,0,0,-0.00118511,0.00118511,0,0,0,6.72502e-05,0
156,0.314,0,0.0144351,-0.0144351,-0,-0,-0,-5.11871e-05,-0,0,0.00281289,-0.00281289,-0,0,-0,6.56224e-05,0
157,0.316,0,-0.00733796,0.00733796,0,-0,0,-5.82842e-05,0,0,-0.00200887,0.00200887,0,0,0,6.48184e-05,0
158,0.318,0,0.00860373,-0.00860373,-0,-0,-0,-5.955e-05,-0,0,0.00304658,-0.00304658,-0,0,-0,6.37807e-05,0
159,0.32,0,-0.000971318,0.000971318,0,-0,0,-6.71824e-05,0,0,-0.00795622,0.00795622,0,0,0,6.86903e-05,0
160,0.322,0,-0.0049606,0.0049606,0,-0,0,-6.12505e-05,0,0,-0.00172865,0.00172865,0,0,-0,7.83752e-05,0
161,0.324,0,0.00726697,-0.00726697,-0,-0,-0,-6.35569e-05,-0,0,0.000115903,-0.000115903,-0,0,-0,7.99879e-05,0
162,0.326,0,-0.0013363,0.0013363,0,-0,0,-6.94875e-05,0,0,-0.0088223,0.0088223,0,0,0,8.86943e-05,0
163,0.328,0,0.0120313,-0.0120313,-0,-0,-0,-8.01825e-05,-0,0,-0.00742247,0.00742247,0,0,-0,0.000104939,0
164,0.33,0,0.00313196,-0.00313196,-0,-0,0,-9.53457e-05,0,0,-0.0182619,0.0182619,0,0,0,0.000130623,0
165,0.332,0,-0.0176819,0.0176819,0,-0,0,-8.07958e-05,0,0,-0.0225381,0.0225381,0,0,0,0.000171423,0
166,0.334,0,-0.00276495,0.00276495,0,-0,-0,-6.03489e-05,0,0,-0.0129251,0.0129251,0,0,-0,0.000206887,0
167,0.336,0,-0.0076133,0.0076133,0,-0,0,-4.99707e-05,0,0,0.00475202,-0.00475202,-0,0,-0,0.00021506,0
