step,timestamp,target,actual,error,P,I,D,integral,output
219,0.44,0,-0.0352196,0.0352196,0,0,-0,0.0141516,0
220,0.442,0,-0.0811668,0.0811668,0,0,0,0.014268,0
221,0.444,0,-0.0131872,0.0131872,0,0,-0,0.0143624,0
222,0.446,0,-0.0454349,0.0454349,0,0,0,0.014421,0
223,0.448,0,0.0456531,-0.0456531,-0,0,-0,0.0144208,0
224,0.45,0,-0.00273093,0.00273093,0,0,0,0.0143779,0
225,0.452,0,-0.0372723,0.0372723,0,0,0,0.0144179,0
226,0.454,0,-0.0932051,0.0932051,0,0,0,0.0145483,0
227,0.456,0,-0.0176078,0.0176078,0,0,-0,0.0146592,0
228,0.458,0,-0.0793361,0.0793361,0,0,0,0.0147561,0
229,0.46,0,-0.0112445,0.0112445,0,0,-0,0.0148467,0
230,0.462,0,0.0304853,-0.0304853,-0,0,-0,0.0148274,0
231,0.464,0,-0.00912561,0.00912561,0,0,0,0.0148061,0
232,0.466,0,-0.0418348,0.0418348,0,0,0,0.014857,0
233,0.468,0,0.0470279,-0.0470279,-0,0,-0,0.0148519,0
234,0.47,0,0.0963963,-0.0963963,-0,0,-0,0.0147084,0
235,0.472,0,0.0627516,-0.0627516,-0,0,0,0.0145493,0
236,0.474,0,0.108303,-0.108303,-0,0,-0,0.0143782,0
237,0.476,0,0.144553,-0.144553,-0,0,-0,0.0141254,0
238,0.478,0,0.0550509,-0.0550509,-0,0,0,0.0139258,0
239,0.48,0,0.101611,-0.101611,-0,0,-0,0.0137691,0
240,0.482,0,-0.033497,0.033497,0,0,0,0.013701,0
241,0.484,0,0.0319276,-0.0319276,-0,0,-0,0.0137026,0
242,0.486,0,-0.0374158,0.0374158,0,0,0,0.013708,0
243,0.488,0,-0.0732678,0.0732678,0,0,0,0.0138187,0
244,0.49,0,-0.0978423,0.0978423,0,0,0,0.0139898,0
245,0.492,0,-0.00925213,0.00925213,0,0,-0,0.0140969,0
246,0.494,0,-0.0576712,0.0576712,0,0,0,0.0141639,0
247,0.496,0,0.0788701,-0.0788701,-0,0,-0,0.0141427,0
248,0.498,0,0.00931663,-0.00931663,-0,0,0,0.0140545,0
249,0.5,0,0.0782246,-0.0782246,-0,0,-0,0.0139669,0
250,0.502,0,0.0127418,-0.0127418,-0,0,0,0.013876,0
251,0.504,0,0.125925,-0.125925,-0,0,-0,0.0137373,0
252,0.506,0,-0.0167714,0.0167714,0,0,0,0.0136281,0
253,0.508,0,0.108437,-0.108437,-0,0,-0,0.0135365,0
254,0.51,0,-0.0265966,0.0265966,0,0,0,0.0134546,0
255,0.512,0,0.102839,-0.102839,-0,0,-0,0.0133784,0
256,0.514,0,-0.0290356,0.0290356,0,0,0,0.0133046,0
257,0.516,0,0.101845,-0.101845,-0,0,-0,0.0132318,0
258,0.518,0,-0.0343528,0.0343528,0,0,0,0.0131643,0
259,0.52,0,0.0975678,-0.0975678,-0,0,-0,0.0131011,0
260,0.522,0,-0.0386994,0.0386994,0,0,0,0.0130422,0
261,0.524,0,0.0944326,-0.0944326,-0,0,-0,0.0129865,0
262,0.526,0,-0.0410141,0.0410141,0,0,0,0.0129331,0
263,0.528,0,0.0928465,-0.0928465,-0,0,-0,0.0128812,0
264,0.53,0,-0.0421739,0.0421739,0,0,0,0.0128306,0
265,0.532,0,0.0928958,-0.0928958,-0,0,-0,0.0127798,0
266,0.534,0,-0.0426983,0.0426983,0,0,0,0.0127296,0
267,0.536,0,0.0925071,-0.0925071,-0,0,-0,0.0126798,0
268,0.538,0,-0.0428021,0.0428021,0,0,0,0.0126301,0
269,0.54,0,0.092176,-0.092176,-0,0,-0,0.0125807,0
270,0.542,0,-0.0430581,0.0430581,0,0,0,0.0125316,0
271,0.544,0,0.0923418,-0.0923418,-0,0,-0,0.0124823,0
272,0.546,0,-0.0436126,0.0436126,0,0,0,0.0124336,0
273,0.548,0,0.0937788,-0.0937788,-0,0,-0,0.0123834,0
274,0.55,0,-0.0431009,0.0431009,0,0,0,0.0123328,0
275,0.552,0,0.0942003,-0.0942003,-0,0,-0,0.0122817,0
276,0.554,0,-0.0419627,0.0419627,0,0,0,0.0122294,0
277,0.556,0,0.0951221,-0.0951221,-0,0,-0,0.0121763,0
278,0.558,0,-0.0411075,0.0411075,0,0,0,0.0121223,0
279,0.56,0,0.0950248,-0.0950248,-0,0,-0,0.0120683,0
280,0.562,0,-0.0402184,0.0402184,0,0,0,0.0120135,0
281,0.564,0,0.0951497,-0.0951497,-0,0,-0,0.0119586,0
282,0.566,0,-0.0398649,0.0398649,0,0,0,0.0119033,0
283,0.568,0,0.0953597,-0.0953597,-0,0,-0,0.0118478,0
284,0.57,0,-0.0402099,0.0402099,0,0,0,0.0117927,0
285,0.572,0,0.0933167,-0.0933167,-0,0,-0,0.0117396,0
286,0.574,0,-0.0426382,0.0426382,0,0,0,0.0116889,0
287,0.576,0,0.0780703,-0.0780703,-0,0,-0,0.0116535,0
288,0.578,0,-0.0563838,0.0563838,0,0,0,0.0116318,0
289,0.58,0,0.0647101,-0.0647101,-0,0,-0,0.0116234,0
290,0.582,0,-0.0682418,0.0682418,0,0,0,0.011627,0
291,0.584,0,0.0643188,-0.0643188,-0,0,-0,0.0116309,0
292,0.586,0,-0.0690408,0.0690408,0,0,0,0.0116356,0
293,0.588,0,0.06307,-0.06307,-0,0,-0,0.0116416,0
294,0.59,0,-0.0707836,0.0707836,0,0,0,0.0116493,0
295,0.592,0,0.0612278,-0.0612278,-0,0,-0,0.0116589,0
296,0.594,0,-0.0729937,0.0729937,0,0,0,0.0116706,0
297,0.596,0,0.0594777,-0.0594777,-0,0,-0,0.0116841,0
298,0.598,0,-0.0747355,0.0747355,0,0,0,0.0116994,0
299,0.6,0,0.0580929,-0.0580929,-0,0,-0,0.011716,0
300,0.602,0,-0.0763247,0.0763247,0,0,0,0.0117343,0
301,0.604,0,0.0567406,-0.0567406,-0,0,-0,0.0117539,0
302,0.606,0,-0.0772842,0.0772842,0,0,0,0.0117744,0
303,0.608,0,0.0556986,-0.0556986,-0,0,-0,0.011796,0
304,0.61,0,-0.0779772,0.0779772,0,0,0,0.0118183,0
305,0.612,0,0.0548636,-0.0548636,-0,0,-0,0.0118414,0
306,0.614,0,-0.0783798,0.0783798,0,0,0,0.0118649,0
307,0.616,0,0.0548273,-0.0548273,-0,0,-0,0.0118885,0
308,0.618,0,-0.0778485,0.0778485,0,0,0,0.0119115,0
309,0.62,0,0.0555825,-0.0555825,-0,0,-0,0.0119337,0
310,0.622,0,-0.0764656,0.0764656,0,0,0,0.0119546,0
311,0.624,0,0.0569824,-0.0569824,-0,0,-0,0.0119741,0
312,0.626,0,-0.0748725,0.0748725,0,0,0,0.011992,0
313,0.628,0,0.0585672,-0.0585672,-0,0,-0,0.0120083,0
314,0.63,0,-0.0728334,0.0728334,0,0,0,0.0120226,0
315,0.632,0,0.0600348,-0.0600348,-0,0,-0,0.0120354,0
316,0.634,0,-0.0715647,0.0715647,0,0,0,0.0120469,0
317,0.636,0,0.0613155,-0.0613155,-0,0,-0,0.0120571,0
318,0.638,0,-0.0703614,0.0703614,0,0,0,0.0120662,0
319,0.64,0,0.0629198,-0.0629198,-0,0,-0,0.0120736,0
